Geo Point;Geo Shape;ID_PR;NOM_PR;NB_PL_PR;NB_PL_COV;NB_PL_PMR;NB_PL_ELEC;NB_PL_2RM;NB_PL_V;LABEL_PR;MOA_PR;GESTION_PR;STRUCT_PR;WWW;MES_DATE;MES_ANNEE;INSEE_T;NOM_COMM;ADRES_PR;ID_REF_ZDL;NOM_ZDL;ID_REF_LDA;NOM_LDA;NOM_GARE
49.0335205369,2.12781740826;"{""type"": ""MultiPoint"", ""coordinates"": [[2.127817408263856, 49.03352053691982, 0.0]]}";33.0;Liesse Saint Ouen l'Aumne;124.0;0.0;3.0;3.0;0.0;0.0;1.0;CACP;Indigo;sol;www.parkindigo.fr;2012-02-01T01:00:00+01:00;2012.0;95572;Saint-Ouen-l'Aumne;4 Rue du Champ Gaillard, 95310 Saint-Ouen-l'aumone;43150.0;Saint-Ouen l'Aumne - Liesse;66659.0;Saint-Ouen l'Aumne - Liesse;SAINT-OUEN L'AUMNE - LIESSE (SNCF)
48.9982037664,2.09975614712;"{""type"": ""MultiPoint"", ""coordinates"": [[2.099756147123833, 48.99820376639418, 0.0]]}";15.0;Fonderie;289.0;0.0;6.0;0.0;0.0;0.0;1.0;Conflans-Sainte-Honorine;Autocit;sol;www.autocite.fr;2008-11-03T01:00:00+01:00;2008.0;78172;Conflans-Sainte-Honorine;Rue de la Fonderie, 78700 Conflans-Sainte-Honorine;47447.0;Conflans-Sainte-Honorine (Gare);66095.0;Conflans Sainte-Honorine (Gare);CONFLANS-SAINTE-HONORINE (SNCF)
48.1812355826,2.73673930967;"{""type"": ""MultiPoint"", ""coordinates"": [[2.736739309669557, 48.181235582608785, 0.0]]}";37.0;Souppes Chteau Landon;301.0;0.0;6.0;0.0;0.0;0.0;1.0;SNCF;Effia;sol;www.resaplace.com;2013-04-11T02:00:00+02:00;2013.0;77458;Souppes-sur-Loing;26 avenue du marechal leclerc, 77460 Souppes-sur-Loing;47118.0;Souppes Chteau-Landon;61094.0;Souppes Chteau-Landon;SOUPPES - CHTEAU-LANDON (SNCF)
49.0499493,2.0081494;"{""type"": ""MultiPoint"", ""coordinates"": [[2.0081494, 49.049949299986736, 0.0]]}";11.0;Nautilus;435.0;0.0;8.0;3.0;0.0;0.0;1.0;CACP;Indigo;ouvrage;www.parkindigo.fr;2012-10-01T02:00:00+02:00;2012.0;95127;Cergy;62 Cours des Merveilles, 95800 Cergy;58220.0;Fief  Cavan;66834.0;Cergy Le Haut;CERGY LE HAUT (SNCF)
48.7867058256,2.04197096484;"{""type"": ""MultiPoint"", ""coordinates"": [[2.041970964836274, 48.786705825628815, 0.0]]}";36.0;De la Gare;610.0;0.0;12.0;0.0;0.0;0.0;1.0;CASQY;Q-Park;ouvrage;;2014-07-15T02:00:00+02:00;2014.0;78423;Montigny-le-Bretonneux;;58791.0;Saint-Quentin-en-Yvelines (Paul Delouvrier);63812.0;Saint-Quentin-en-Yvelines (Gare);SAINT-QUENTIN-EN-YVELINES (SNCF)
48.6791271,2.5349827;"{""type"": ""MultiPoint"", ""coordinates"": [[2.5349827, 48.6791270999859, 0.0]]}";4.0;Gare;188.0;0.0;4.0;0.0;0.0;0.0;1.0;Boussy Saint Antoine;Effia;sol;www.resaplace.com;2011-06-14T02:00:00+02:00;2011.0;91514;Quincy-sous-Snart;Rue de la Gare, 91480 Quincy-sous-Snart;43009.0;Fontaine Cornaille;62585.0;Fontaine Cornaille;BOUSSY-SAINT-ANTOINE (SNCF)
48.9502109172,3.12342508488;"{""type"": ""MultiPoint"", ""coordinates"": [[3.123425084879555, 48.950210917231345, 0.0]]}";17.0;La Fert-sous-Jouarre;331.0;4.0;7.0;2.0;0.0;0.0;1.0;La Fert;Gestipark;ouvrage;;2013-09-01T02:00:00+02:00;2013.0;77183;La Fert-sous-Jouarre;;52747.0;Pierre Marx;68897.0;Pierre Marx;FERTE-SOUS-JOUARRE (LA) (SNCF)
48.8950627251,2.47708587336;"{""type"": ""MultiPoint"", ""coordinates"": [[2.477085873355732, 48.89506272505082, 0.0]]}";3.0;Bondy;300.0;0.0;0.0;0.0;0.0;0.0;1.0;Bondy;Vincy Park;ouvrage;;2012-12-14T01:00:00+01:00;0.0;93010;Bondy;95 avenue Jules ferry, 93140, Bondy;43096.0;Bondy (Gare);72037.0;Bondy (Gare);BONDY (SNCF)
48.8431075808,2.57867087148;"{""type"": ""MultiPoint"", ""coordinates"": [[2.578670871476823, 48.843107580788335, 0.0]]}";46.0;Champy;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;0.0;93051;Noisy-le-Grand;;58937.0;Noisy Champs (Gare);73163.0;Noisy Champs (Gare);NOISY-CHAMPS (RATP)
48.6963937947,2.16243401388;"{""type"": ""MultiPoint"", ""coordinates"": [[2.162434013884447, 48.696393794714844, 0.0]]}";41.0;Bures-sur-Yvette;125.0;0.0;0.0;0.0;0.0;0.0;1.0;Bures-sur-Yvettes;DSP;ouvrage;;;0.0;91122;Bures-sur-Yvette;;43103.0;Bures-sur-Yvette (Gare);62851.0;Bures-sur-Yvette (Gare);BURES-SUR-YVETTE (RATP)
48.789028216,2.04529883263;"{""type"": ""MultiPoint"", ""coordinates"": [[2.045298832626158, 48.78902821595688, 0.0]]}";34.0;Jean Berthin;200.0;0.0;11.0;0.0;0.0;0.0;1.0;CASQY;Q-Park;ouvrage;www.q-park-resa.fr;2014-07-15T02:00:00+02:00;2014.0;78423;Montigny-le-Bretonneux;Avenue de Lunca, 78180 Montigny-le-Bretonneux;58791.0;Saint-Quentin-en-Yvelines (Paul Delouvrier);63812.0;Saint-Quentin-en-Yvelines (Gare);SAINT-QUENTIN-EN-YVELINES (SNCF)
48.7251792387,2.25612121732;"{""type"": ""MultiPoint"", ""coordinates"": [[2.25612121731745, 48.72517923873373, 0.0]]}";25.0;Vilmorin Massy Palaiseau;424.0;0.0;7.0;0.0;0.0;0.0;1.0;Massy;Effia;ouvrage;www.resaplace.com;2010-12-27T01:00:00+01:00;2010.0;91377;Massy;16 Place Pierre Semart, 91300 Massy;58774.0;Massy Palaiseau;63244.0;Massy Palaiseau;MASSY-PALAISEAU (RATP/SNCF)
48.6803131849,2.53184668156;"{""type"": ""MultiPoint"", ""coordinates"": [[2.531846681557607, 48.68031318490623, 0.0]]}";5.0;Marcel Pagnol;195.0;0.0;4.0;0.0;0.0;0.0;1.0;Boussy Saint Antoine;Effia;sol;;2011-06-14T02:00:00+02:00;2011.0;91097;Boussy-Saint-Antoine;;47924.0;Boussy-Saint-Antoine (Gare);62596.0;Boussy-Saint-Antoine (Gare);BOUSSY-SAINT-ANTOINE (SNCF)
48.8820061352,2.70842926028;"{""type"": ""MultiPoint"", ""coordinates"": [[2.708429260284309, 48.88200613515726, 0.0]]}";20.0;Lagny Thorigny;283.0;0.0;3.0;0.0;0.0;0.0;1.0;CA Marne et Gondoire;SAEMES;sol;;2011-09-11T02:00:00+02:00;2011.0;77464;Thorigny-sur-Marne;Rue D'Orgemont, 77400 Thorigny-sur-Marne;47313.0;Gare De Lagny Thorigny (Rue Poincar);68494.0;Lagny Thorigny (Gare);LAGNY-THORIGNY (SNCF)
48.8537095024,2.76908545179;"{""type"": ""MultiPoint"", ""coordinates"": [[2.76908545179297, 48.853709502385634, 0.0]]}";39.0;Val d'Europe;645.0;0.0;12.0;3.0;0.0;0.0;1.0;CA Marne et Gondoire;SAEMES;ouvrage;;2011-02-01T01:00:00+01:00;2011.0;77307;Montvrain;77 Rue de la Charbonnire, 77144 Montvrain;57248.0;Prague;68239.0;Prague;VAL D'EUROPE (RATP)
48.9916256775,2.16049131713;"{""type"": ""MultiPoint"", ""coordinates"": [[2.160491317128274, 48.991625677523295, 0.0]]}";19.0;Herblay;334.0;0.0;9.0;0.0;0.0;0.0;1.0;Herblay;"March d'entretien de la Ville
Voir M Daniel Rebout
01 30 40 37 33
d.renout@herblay.fr";ouvrage;www.resaplace.com;2010-09-01T02:00:00+02:00;2010.0;95306;Herblay;4 Rue Etienne Fourmont, 95220 Herblay;47603.0;Herblay (Gare);65897.0;Herblay (Gare);HERBLAY (SNCF)
